isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	planted_cluster	lineage
SC_0042	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L42
SC_0043	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L43
SC_0044	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L44
SC_0045	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L00
SC_0046	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L01
SC_0047	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L02
SC_0048	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L03
SC_0049	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L04
SC_0050	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L05
SC_0051	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L06
SC_0052	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L07
SC_0053	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L08
SC_0054	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L09
SC_0055	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L10
SC_0056	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L11
SC_0057	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L12
SC_0058	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L13
SC_0059	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L14
SC_0060	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L15
SC_0061	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L16
SC_0062	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L17
SC_0063	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L18
SC_0064	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L19
SC_0065	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L20
SC_0066	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L21
SC_0067	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L22
SC_0068	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L23
SC_0069	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L24
SC_0070	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L25
SC_0071	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L26
SC_0072	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L27
SC_0073	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L28
SC_0074	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L29
SC_0075	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L30
SC_0076	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L31
SC_0077	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L32
SC_0078	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L33
SC_0079	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L34
SC_0080	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L35
SC_0081	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L36
SC_0082	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L37
SC_0083	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L38
SC_0084	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L39
SC_0085	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L40
SC_0086	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L41
SC_0087	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L42
SC_0088	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L43
SC_0089	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L44
SC_0090	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L00
SC_0091	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L01
SC_0092	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L02
SC_0093	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L03
SC_0094	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L04
SC_0095	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L05
SC_0096	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L06
SC_0097	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L07
SC_0098	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L08
SC_0099	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L09
SC_0100	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L10
SC_0101	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L11
SC_0102	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L12
SC_0103	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L13
SC_0104	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L14
SC_0105	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L15
SC_0106	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L16
SC_0107	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L17
SC_0108	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L18
SC_0109	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L19
SC_0110	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L20
SC_0111	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L21
SC_0112	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L22
SC_0113	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L23
SC_0114	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L24
SC_0115	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L25
SC_0116	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L26
SC_0117	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L27
SC_0118	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L28
SC_0119	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L29
SC_0120	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L30
SC_0121	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L31
SC_0122	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L32
SC_0123	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L33
SC_0124	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L34
SC_0125	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L35
SC_0126	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L36
SC_0127	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L37
SC_0128	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L38
SC_0129	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L39
SC_0130	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L40
SC_0131	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L41
SC_0132	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L42
SC_0133	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L43
SC_0134	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L44
SC_0135	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L00
SC_0136	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L01
SC_0137	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L02
SC_0138	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L03
SC_0139	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L04
SC_0140	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L05
SC_0141	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L06
SC_0142	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L07
SC_0143	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L08
SC_0144	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L09
SC_0145	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L10
SC_0146	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L11
SC_0147	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L12
SC_0148	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L13
SC_0149	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L14
SC_0150	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L15
SC_0151	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L16
SC_0152	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L17
SC_0153	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L18
SC_0154	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L19
SC_0155	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L20
SC_0156	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L21
SC_0157	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L22
SC_0158	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L23
SC_0159	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L24
SC_0160	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L25
SC_0161	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L26
SC_0162	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L27
SC_0163	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L28
SC_0164	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L29
SC_0165	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L30
SC_0166	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L31
SC_0167	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L32
SC_0168	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L33
SC_0169	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L34
SC_0170	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L35
SC_0171	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L36
SC_0172	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L37
SC_0173	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L38
SC_0174	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L39
SC_0175	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L40
SC_0176	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L41
SC_0177	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L42
SC_0178	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L43
SC_0179	0	1.0	robust	0.0	amr+vir	2	0.0	fused	0	L44
