isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	lineage
LC_0078	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0079	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0080	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0081	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0082	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0083	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0084	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0085	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0086	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0087	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0088	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0089	2	0.9943074003795066	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0090	4	0.9875747540726194	robust	0.0	amr+vir	2	0.0	fused	L004
LC_0091	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0092	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0093	2	0.9948849104859335	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0094	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0095	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0096	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0097	2	0.9946524064171123	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0098	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0099	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0100	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0101	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0102	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0103	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0104	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0105	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0106	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0107	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0108	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0109	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0110	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0111	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0112	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0113	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0114	4	0.9916579391711373	robust	0.0	amr+vir	2	0.0	fused	L020
LC_0115	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0116	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0117	1	0.8683715373367791	robust	0.0	amr+vir	2	0.0	fused	L012
LC_0118	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0119	2	0.9924098671726755	robust	0.6285714285714286	amr+vir	2	1.0	fused	L008
LC_0120	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0121	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0122	1	0.9924155208037653	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0123	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0124	2	0.9947478991596639	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0125	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0126	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0127	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0128	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0129	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0130	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0131	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0132	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0133	2	0.9937611408199644	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0134	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0135	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0136	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0137	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0138	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0139	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0140	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0141	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0142	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0143	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0144	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0145	4	0.9923284376913409	robust	0.0	amr+vir	2	0.0	fused	L004
LC_0146	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0147	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0148	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0149	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0150	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0151	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0152	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0153	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0154	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0155	3	1.0	robust	0.37142857142857144	amr+vir	2	0.0	fused	L007
LC_0156	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0157	1	0.9925925925925926	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0158	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0159	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0160	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0161	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0162	4	0.9855443064398288	robust	0.0	amr+vir	2	0.0	fused	L006
LC_0163	1	0.9909092372581216	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0164	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0165	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0166	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0167	2	0.9932773109243698	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0168	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0169	4	0.987218454708374	robust	0.0	amr+vir	2	0.0	fused	L004
LC_0170	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0171	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0172	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0173	2	0.9947322212467077	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0174	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0175	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0176	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0177	4	0.9824248080074351	robust	0.0	amr+vir	2	0.0	fused	L005
LC_0178	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0179	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0180	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0181	3	1.0	robust	0.6571428571428571	amr+vir	2	0.0	fused	L007
LC_0182	1	0.9903846153846153	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0183	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0184	4	0.7958178568371411	robust	0.0	amr+vir	2	0.0	fused	L013
LC_0185	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0186	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0187	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0188	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0189	3	1.0	robust	0.0	amr+vir	2	0.0	fused	L001
LC_0190	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0191	4	0.9858284282691396	robust	0.0	amr+vir	2	0.0	fused	L006
LC_0192	4	0.9627185499504572	robust	0.0	amr+vir	2	0.0	fused	L014
LC_0193	1	0.9924242424242424	robust	0.0	amr+vir	2	0.0	fused	L003
LC_0194	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0195	2	0.9948096885813149	robust	0.0	amr+vir	2	0.0	fused	L002
LC_0196	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0197	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0198	0	1.0	robust	0.0	amr+vir	2	0.0	fused	L000
LC_0199	2	0.9941176470588236	robust	0.0	amr+vir	2	0.0	fused	L002
