isolate,vir_00,vir_01,vir_02,vir_03,vir_04,vir_05,vir_06,vir_07,vir_08,vir_09,vir_10,vir_11,vir_12,vir_13,vir_14,vir_15,vir_16,vir_17,vir_18,vir_19
LC_0026,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0027,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
LC_0028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0029,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
LC_0030,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0031,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0032,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0033,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0034,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0035,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0036,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0037,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
LC_0038,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
LC_0039,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0040,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0041,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0042,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0043,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0044,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
LC_0045,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0046,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
LC_0047,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0048,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
LC_0049,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0050,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0051,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0052,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0053,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0054,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0055,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
LC_0056,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
LC_0057,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
LC_0058,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0059,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0060,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0061,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0062,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
LC_0063,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0064,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LC_0065,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0066,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0067,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0068,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0069,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0070,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
LC_0071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0072,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
LC_0073,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
LC_0074,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0075,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0076,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0077,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0078,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0079,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0080,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0081,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
LC_0082,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0083,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0084,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
LC_0085,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0086,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
LC_0087,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0088,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0089,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
LC_0090,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0091,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
LC_0092,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0093,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0094,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0095,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0096,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
LC_0097,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0098,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0099,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0100,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
LC_0101,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0102,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0103,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
LC_0104,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0105,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0106,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0107,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0108,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
LC_0109,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0110,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
LC_0111,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0112,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0113,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0114,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
LC_0115,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0116,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0117,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
LC_0118,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
LC_0119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LC_0120,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0121,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0122,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LC_0123,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0124,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
LC_0125,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
LC_0126,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
LC_0127,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
LC_0128,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0129,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
LC_0130,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
LC_0131,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
LC_0132,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0133,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
LC_0134,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0135,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0136,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0137,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0138,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
LC_0139,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0140,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
LC_0141,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
LC_0142,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LC_0143,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
LC_0144,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0146,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0147,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0148,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0149,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0150,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
LC_0151,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
LC_0152,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0153,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LC_0154,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
LC_0155,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
LC_0156,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0157,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
LC_0158,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0159,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0160,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0161,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0162,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
LC_0163,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
LC_0164,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0165,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0166,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
LC_0167,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0168,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0169,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0170,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0171,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0172,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LC_0173,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0174,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0175,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
LC_0176,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC_0178,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0179,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0180,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0181,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
LC_0182,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
LC_0183,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0184,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
LC_0185,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0186,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0187,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0188,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
LC_0189,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LC_0190,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
LC_0191,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
LC_0192,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
LC_0193,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LC_0194,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LC_0195,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LC_0196,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0197,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0198,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
LC_0199,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
