isolate,amr_00,amr_01,amr_02,amr_03,amr_04,amr_05,amr_06,amr_07,amr_08,amr_09,amr_10,amr_11,amr_12,amr_13,amr_14
LC_0071,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LC_0072,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0073,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0074,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0075,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0076,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
LC_0077,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LC_0078,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0079,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
LC_0080,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0081,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0082,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0083,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0084,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0085,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
LC_0086,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0087,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0088,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
LC_0089,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0090,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LC_0091,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0092,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0093,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
LC_0094,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
LC_0095,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
LC_0096,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
LC_0097,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0098,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0099,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
LC_0100,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0101,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0102,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0103,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0104,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0105,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
LC_0106,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0107,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0108,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0109,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0110,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0111,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
LC_0112,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0113,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0114,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
LC_0115,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LC_0116,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LC_0118,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0119,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1
LC_0120,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0121,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0122,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0123,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0124,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0125,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
LC_0126,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0127,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0128,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0129,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0130,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
LC_0131,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
LC_0132,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0133,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
LC_0134,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0
LC_0135,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0136,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0137,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
LC_0138,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0139,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0140,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0141,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0142,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0143,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
LC_0144,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
LC_0145,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LC_0146,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0147,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
LC_0148,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
LC_0149,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
LC_0150,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0151,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0
LC_0152,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0
LC_0153,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0154,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0155,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
LC_0156,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0157,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0158,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0159,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0160,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0161,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0162,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1
LC_0163,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0164,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0165,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0166,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0167,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0168,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0169,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
LC_0170,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0171,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0172,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0173,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
LC_0174,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0175,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1
LC_0176,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0177,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LC_0178,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0179,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0180,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0181,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
LC_0182,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
LC_0183,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0184,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1
LC_0185,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0186,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0187,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0188,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0189,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
LC_0190,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0191,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
LC_0192,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
LC_0193,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
LC_0194,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0195,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
LC_0196,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0197,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
LC_0198,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0
LC_0199,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
