isolate_id	cluster	confidence	stability	fragility	positive_layers	n_informative_layers	layer_conflict	discordant_layer	planted_cluster	lineage
SC_0097	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L006
SC_0098	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L043
SC_0099	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L012
SC_0100	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L026
SC_0101	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L048
SC_0102	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L009
SC_0103	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L006
SC_0104	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L004
SC_0105	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L011
SC_0106	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L011
SC_0107	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L010
SC_0108	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L053
SC_0109	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L005
SC_0110	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L017
SC_0111	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L029
SC_0112	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L031
SC_0113	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L022
SC_0114	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L010
SC_0115	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L033
SC_0116	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L054
SC_0117	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L002
SC_0118	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L032
SC_0119	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L020
SC_0120	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L056
SC_0121	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L020
SC_0122	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L001
SC_0123	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L013
SC_0124	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L058
SC_0125	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L046
SC_0126	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L033
SC_0127	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L035
SC_0128	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L012
SC_0129	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L005
SC_0130	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L036
SC_0131	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L025
SC_0132	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L040
SC_0133	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L016
SC_0134	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L011
SC_0135	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L010
SC_0136	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L039
SC_0137	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L027
SC_0138	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L034
SC_0139	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L024
SC_0140	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L023
SC_0141	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L034
SC_0142	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L023
SC_0143	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L058
SC_0144	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L007
SC_0145	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L027
SC_0146	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L000
SC_0147	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L018
SC_0148	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L011
SC_0149	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L022
SC_0150	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L049
SC_0151	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L005
SC_0152	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L013
SC_0153	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L052
SC_0154	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L017
SC_0155	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L028
SC_0156	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L001
SC_0157	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L037
SC_0158	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L045
SC_0159	1	1.0	robust	0.0	amr+vir	2	0.0	fused	1	L021
SC_0160	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L047
SC_0161	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L013
SC_0162	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L024
SC_0163	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L017
SC_0164	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L039
SC_0165	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L044
SC_0166	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L041
SC_0167	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L025
SC_0168	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L022
SC_0169	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L030
SC_0170	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L044
SC_0171	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L049
SC_0172	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L000
SC_0173	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L042
SC_0174	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L000
SC_0175	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L045
SC_0176	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L028
SC_0177	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L057
SC_0178	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L018
SC_0179	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L055
SC_0180	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L023
SC_0181	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L015
SC_0182	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L046
SC_0183	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L007
SC_0184	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L057
SC_0185	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L046
SC_0186	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L058
SC_0187	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L003
SC_0188	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L032
SC_0189	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L020
SC_0190	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L033
SC_0191	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L051
SC_0192	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L019
SC_0193	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L038
SC_0194	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L045
SC_0195	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L020
SC_0196	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L018
SC_0197	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L019
SC_0198	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L046
SC_0199	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L029
SC_0200	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L014
SC_0201	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L059
SC_0202	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L041
SC_0203	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L000
SC_0204	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L054
SC_0205	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L009
SC_0206	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L040
SC_0207	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L055
SC_0208	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L040
SC_0209	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L006
SC_0210	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L043
SC_0211	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L035
SC_0212	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L023
SC_0213	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L028
SC_0214	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L052
SC_0215	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L021
SC_0216	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L016
SC_0217	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L037
SC_0218	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L016
SC_0219	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L057
SC_0220	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L056
SC_0221	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L030
SC_0222	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L022
SC_0223	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L015
SC_0224	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L038
SC_0225	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L018
SC_0226	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L056
SC_0227	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L035
SC_0228	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L034
SC_0229	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L038
SC_0230	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L051
SC_0231	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L019
SC_0232	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L048
SC_0233	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L016
SC_0234	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L008
SC_0235	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L036
SC_0236	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L045
SC_0237	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L006
SC_0238	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L036
SC_0239	2	1.0	robust	0.0	amr+vir	2	0.0	fused	2	L048
