genome_id,genome_name,mlst,serovar,isolation_country,collection_year,host_name,collection_period,country_period,baps_cluster,source_strain
g1307.7563,Streptococcus suis LSS90,MLST.ssuis.859,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS90
g1307.7564,Streptococcus suis LSS82,MLST.ssuis.877,16,United Kingdom,2011,Pig,early,United Kingdom early,BAPS13,LSS82
g1307.7565,Streptococcus suis LSS81,MLST.ssuis.875,15,United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS81
g1307.7566,Streptococcus suis LSS91,MLST.ssuis.949,6,United Kingdom,2011,Pig,early,United Kingdom early,BAPS8,LSS91
g1307.7567,Streptococcus suis LSS9,MLST.ssuis.866,10,United Kingdom,2010,Pig,early,United Kingdom early,BAPS8,LSS9
g1307.7568,Streptococcus suis LSS88,MLST.ssuis.887,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS88
g1307.7569,Streptococcus suis LSS62,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS62
g1307.7570,Streptococcus suis LSS87,MLST.ssuis.28,1 + 6,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS87
g1307.7571,Streptococcus suis LSS89,MLST.ssuis.87,8,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS89
g1307.7572,Streptococcus suis LSS86,MLST.ssuis.28,1 + 5,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS86
g1307.7573,Streptococcus suis LSS84,MLST.ssuis.29,7,United Kingdom,2011,Pig,early,United Kingdom early,BAPS28,LSS84
g1307.7574,Streptococcus suis LSS85,MLST.ssuis.29,7,United Kingdom,2011,Pig,early,United Kingdom early,BAPS28,LSS85
g1307.7575,Streptococcus suis LSS66,MLST.ssuis.903,9,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS66
g1307.7576,Streptococcus suis LSS77,MLST.ssuis.28,1 and 4,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS77
g1307.7577,Streptococcus suis LSS76,MLST.ssuis.87,8 (+2 partial),United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS76
g1307.7578,Streptococcus suis LSS83,MLST.ssuis.29,7,United Kingdom,2011,Pig,early,United Kingdom early,BAPS28,LSS83
g1307.7579,Streptococcus suis LSS75,MLST.ssuis.883,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS75
g1307.7580,Streptococcus suis LSS74,MLST.ssuis.94,3,United Kingdom,2011,Pig,early,United Kingdom early,BAPS1,LSS74
g1307.7581,Streptococcus suis LSS50,MLST.ssuis.873,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS50
g1307.7582,Streptococcus suis LSS70,MLST.Streptococcus_suis.87,9,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS70
g1307.7583,Streptococcus suis LSS49,MLST.ssuis.899,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS49
g1307.7584,Streptococcus suis LSS72,MLST.ssuis.28,1 and 3,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS72
g1307.7585,Streptococcus suis LSS73,MLST.ssuis.94,3,United Kingdom,2011,Pig,early,United Kingdom early,BAPS1,LSS73
g1307.7586,Streptococcus suis LSS71,MLST.ssuis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS25,LSS71
g1307.7587,Streptococcus suis LSS5,MLST.ssuis.891,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LSS5
g1307.7588,Streptococcus suis LSS68,MLST.ssuis.87,8,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS68
g1307.7589,Streptococcus suis LSS7,,,United Kingdom,2010,Pig,early,United Kingdom early,BAPS3,LSS7
g1307.7590,Streptococcus suis LSS67,MLST.ssuis.87,8,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS67
g1307.7591,Streptococcus suis LSS60,MLST.ssuis.858,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS60
g1307.7592,Streptococcus suis LSS61,MLST.ssuis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS25,LSS61
g1307.7593,Streptococcus suis LSS6,,(4 partial),United Kingdom,2010,Pig,early,United Kingdom early,BAPS16,LSS6
g1307.7594,Streptococcus suis LSS28,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS28
g1307.7595,Streptococcus suis LSS58,MLST.ssuis.886,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS58
g1307.7596,Streptococcus suis LSS3,MLST.ssuis.28,1/2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS25,LSS3
g1307.7597,Streptococcus suis LSS57,MLST.ssuis.884,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS57
g1307.7598,Streptococcus suis LSS59,MLST.ssuis.888,10,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS59
g1307.7599,Streptococcus suis LSS29,MLST.ssuis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS25,LSS29
g1307.7600,Streptococcus suis LSS56,MLST.ssuis.29,7 (+3 partial),United Kingdom,2011,Pig,early,United Kingdom early,BAPS28,LSS56
g1307.7601,Streptococcus suis LSS54,MLST.ssuis.901,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS54
g1307.7602,Streptococcus suis LSS52,MLST.ssuis.900,19,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS52
g1307.7603,Streptococcus suis LSS55,MLST.ssuis.863,9,United Kingdom,2011,Pig,early,United Kingdom early,BAPS14,LSS55
g1307.7604,Streptococcus suis LSS53,MLST.ssuis.792,21,United Kingdom,2011,Pig,early,United Kingdom early,BAPS22,LSS53
g1307.7605,Streptococcus suis LSS51,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS51
g1307.7606,Streptococcus suis LSS48,MLST.ssuis.898,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS48
g1307.7607,Streptococcus suis LSS44,MLST.ssuis.882,15,United Kingdom,2011,Pig,early,United Kingdom early,BAPS11,LSS44
g1307.7608,Streptococcus suis LSS47,MLST.ssuis.864,16,United Kingdom,2011,Pig,early,United Kingdom early,BAPS8,LSS47
g1307.7609,Streptococcus suis LSS42,MLST.ssuis.878,16,United Kingdom,2011,Pig,early,United Kingdom early,BAPS13,LSS42
g1307.7610,Streptococcus suis LSS41,MLST.ssuis.792,21,United Kingdom,2011,Pig,early,United Kingdom early,BAPS22,LSS41
g1307.7611,Streptococcus suis LSS40,MLST.ssuis.948,6,United Kingdom,2011,Pig,early,United Kingdom early,BAPS8,LSS40
g1307.7612,Streptococcus suis LSS36,MLST.ssuis.896,,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS36
g1307.7613,Streptococcus suis LSS37,MLST.ssuis.885,24,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS37
g1307.7614,Streptococcus suis LSS4,MLST.ssuis.891,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LSS4
g1307.7615,Streptococcus suis LSS32,MLST.ssuis.894,24,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS32
g1307.7616,Streptococcus suis LSS35,MLST.ssuis.873,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS35
g1307.7617,Streptococcus suis LSS34,MLST.ssuis.87,8,United Kingdom,2011,Pig,early,United Kingdom early,BAPS5,LSS34
g1307.7618,Streptococcus suis LSS33,,4,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS33
g1307.7619,Streptococcus suis LSS30,MLST.ssuis.860,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS30
g1307.7620,Streptococcus suis LSS31,MLST.ssuis.950,24,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS31
g1307.7621,Streptococcus suis LSS26,MLST.Streptococcus_suis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS26
g1307.7622,Streptococcus suis LSS27,MLST.ssuis.893,10,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS27
g1307.7623,Streptococcus suis LSS2,MLST.ssuis.857,15,United Kingdom,2010,Pig,early,United Kingdom early,BAPS10,LSS2
g1307.7624,Streptococcus suis LSS20,MLST.ssuis.23,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,LSS20
g1307.7625,Streptococcus suis LSS21,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS21
g1307.7626,Streptococcus suis LSS19,,(4 partial),United Kingdom,2010,Pig,early,United Kingdom early,BAPS16,LSS19
g1307.7627,Streptococcus suis LSS1,MLST.ssuis.28,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS26,LSS1
g1307.7628,Streptococcus suis LSS10,MLST.ssuis.874,,United Kingdom,2010,Pig,early,United Kingdom early,BAPS9,LSS10
g1307.7629,Streptococcus suis MZ1B3-4E,MLST.ssuis.28,14,Canada,2016,Pig,late,Canada late,BAPS25,MZ1B3-4E
g1307.7630,Streptococcus suis CF2D3-4D,,,Canada,2016,Pig,late,Canada late,BAPS9,CF2D3-4D
g1307.7631,Streptococcus suis MZ1B3-4B,MLST.ssuis.28,14,Canada,2016,Pig,late,Canada late,BAPS26,MZ1B3-4B
g1307.7632,Streptococcus suis LOLA-SS011,MLST.ssuis.1,14,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LOLA-SS011
g1307.7633,Streptococcus suis MZ1B3-4A,MLST.ssuis.28,14,Canada,2016,Pig,late,Canada late,BAPS25,MZ1B3-4A
g1307.7634,Streptococcus suis MZ1B3-4C,MLST.ssuis.28,14,Canada,2016,Pig,late,Canada late,BAPS25,MZ1B3-4C
g1307.7635,Streptococcus suis NH1E3-10A,MLST.ssuis.971,,Canada,2016,Pig,late,Canada late,BAPS29,NH1E3-10A
g1307.7636,Streptococcus suis MZ1B3-4D,MLST.ssuis.28,14,Canada,2016,Pig,late,Canada late,BAPS25,MZ1B3-4D
g1307.7637,Streptococcus suis 89-88-422,,31,Canada,1989,Pig,early,Canada early,BAPS14,89-88-422
g1307.7638,Streptococcus suis MA4T3-4B,MLST.ssuis.1214,,Canada,2016,Pig,late,Canada late,BAPS14,MA4T3-4B
g1307.7639,Streptococcus suis MA4T3-4A,MLST.ssuis.1214,5,Canada,2016,Pig,late,Canada late,BAPS14,MA4T3-4A
g1307.7640,Streptococcus suis NH1E3-10B,MLST.ssuis.971,,Canada,2016,Pig,late,Canada late,BAPS29,NH1E3-10B
g1307.7641,Streptococcus suis MA4T3-4C,MLST.ssuis.839,4,Canada,2016,Pig,late,Canada late,BAPS1,MA4T3-4C
g1307.7642,Streptococcus suis LSS24,MLST.ssuis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS26,LSS24
g1307.7643,Streptococcus suis DB1V3-4A,MLST.ssuis.17,4,Canada,2016,Pig,late,Canada late,BAPS7,DB1V3-4A
g1307.7644,Streptococcus suis LSS23,MLST.ssuis.880,24,United Kingdom,2011,Pig,early,United Kingdom early,BAPS21,LSS23
g1307.7645,Streptococcus suis LSS25,MLST.ssuis.28,1/2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS25,LSS25
g1307.7646,Streptococcus suis D16-010263,MLST.ssuis.28,1/2,Canada,,Pig,,,BAPS26,D16-010263
g1307.7647,Streptococcus suis LSS22,MLST.ssuis.1,2,United Kingdom,2011,Pig,early,United Kingdom early,BAPS4,LSS22
g1307.7648,Streptococcus suis LSS18,MLST.ssuis.864,16,United Kingdom,2010,Pig,early,United Kingdom early,BAPS8,LSS18
g1307.7649,Streptococcus suis D16-010378,MLST.ssuis.977,4,Canada,,Pig,,,BAPS1,D16-010378
g1307.7650,Streptococcus suis CF2D3-4C,,,Canada,2016,Pig,late,Canada late,BAPS9,CF2D3-4C
g1307.7651,Streptococcus suis CG3S3-2A,MLST.ssuis.972,29,Canada,2016,Pig,late,Canada late,BAPS21,CG3S3-2A
g1307.7652,Streptococcus suis D16-017871,MLST.ssuis.1198,,Canada,,Pig,,,BAPS8,D16-017871
g1307.7653,Streptococcus suis LSS13,MLST.ssuis.879,16,United Kingdom,2009,Pig,early,United Kingdom early,BAPS13,LSS13
g1307.7654,Streptococcus suis LSS11,MLST.ssuis.876,31,United Kingdom,2011,Pig,early,United Kingdom early,BAPS9,LSS11
g1307.7655,Streptococcus suis 94-2571,,12,Canada,1994,Pig,early,Canada early,BAPS10,94-2571
g1307.7656,Streptococcus suis LOLA-SS010,MLST.ssuis.1,14,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LOLA-SS010
g1307.7657,Streptococcus suis LSS100,MLST.ssuis.857,15,United Kingdom,2011,Pig,early,United Kingdom early,BAPS10,LSS100
g1307.7658,Streptococcus suis LOLA-SS009,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,LOLA-SS009
g1307.7659,Streptococcus suis LOLA-SS007,,(4 partial),United Kingdom,2010,Pig,early,United Kingdom early,BAPS16,LOLA-SS007
g1307.7660,Streptococcus suis LOLA-SS008,MLST.ssuis.29,7,United Kingdom,2010,Pig,early,United Kingdom early,BAPS28,LOLA-SS008
g1307.7661,Streptococcus suis LOLA-SS006,MLST.ssuis.856,4,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,LOLA-SS006
g1307.7662,Streptococcus suis LOLA-SS005,MLST.ssuis.855,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS5,LOLA-SS005
g1307.7663,Streptococcus suis 94-8576-4887,MLST.ssuis.28,14,Canada,1994,Pig,early,Canada early,BAPS25,94-8576-4887
g1307.7664,Streptococcus suis 94-3370-6480,,,Canada,1994,Pig,early,Canada early,BAPS12,94-3370-6480
g1307.7665,Streptococcus suis LOLA-SS002,MLST.ssuis.1,1,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LOLA-SS002
g1307.7666,Streptococcus suis LOLA-SS004,MLST.ssuis.27,3,United Kingdom,2010,Pig,early,United Kingdom early,BAPS24,LOLA-SS004
g1307.7667,Streptococcus suis LOLA-SS003,MLST.ssuis.1,1,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LOLA-SS003
g1307.7668,Streptococcus suis LOLA-SS001,MLST.ssuis.873,2,United Kingdom,2010,Pig,early,United Kingdom early,BAPS4,LOLA-SS001
g1307.7669,Streptococcus suis P83-3336,,16,Canada,1983,Pig,early,Canada early,BAPS8,P83-3336
g1307.7670,Streptococcus suis NH1E3-9A,,,Canada,2016,Pig,late,Canada late,BAPS21,NH1E3-9A
g1307.7671,Streptococcus suis 90-1145,,31,Canada,1990,Pig,early,Canada early,BAPS9,90-1145
g1307.7672,Streptococcus suis NH1E3-9C,,,Canada,2016,Pig,late,Canada late,BAPS21,NH1E3-9C
g1307.7673,Streptococcus suis 89-5197,,16,Canada,1989,Pig,early,Canada early,BAPS8,89-5197
g1307.7674,Streptococcus suis NH1E3-9D,,,Canada,2016,Pig,late,Canada late,BAPS21,NH1E3-9D
g1307.7675,Streptococcus suis 89-6891-2,MLST.ssuis.25,2,Canada,1989,Pig,early,Canada early,BAPS27,89-6891-2
g1307.7676,Streptococcus suis 90-2741-7,MLST.ssuis.25,2,Canada,1990,Pig,early,Canada early,BAPS27,90-2741-7
g1307.7677,Streptococcus suis MY1C3-3B,MLST.ssuis.966,3,Canada,2016,Pig,late,Canada late,BAPS1,MY1C3-3B
g1307.7678,Streptococcus suis MY1C3-3C,MLST.ssuis.839,4,Canada,2016,Pig,late,Canada late,BAPS1,MY1C3-3C
g1307.7679,Streptococcus suis MY1C3-2C,MLST.ssuis.966,3,Canada,2016,Pig,late,Canada late,BAPS1,MY1C3-2C
g1307.7680,Streptococcus suis MY1C3-3A,,,Canada,2016,Pig,late,Canada late,BAPS34,MY1C3-3A
g1307.7681,Streptococcus suis MY1C3-1A,MLST.ssuis.28,1/2,Canada,2016,Pig,late,Canada late,BAPS25,MY1C3-1A
g1307.7682,Streptococcus suis MG2C3-3D,,,Canada,2016,Pig,late,Canada late,BAPS20,MG2C3-3D
g1307.7683,Streptococcus suis MY1C3-2B,MLST.ssuis.966,3,Canada,2016,Pig,late,Canada late,BAPS1,MY1C3-2B
g1307.7684,Streptococcus suis MA4T3-4D,MLST.ssuis.1214,,Canada,2016,Pig,late,Canada late,BAPS14,MA4T3-4D
g1307.7685,Streptococcus suis ME1D3-3A,,31,Canada,2016,Pig,late,Canada late,BAPS14,ME1D3-3A
g1307.7686,Streptococcus suis MA4T3-3C,,31,Canada,2016,Pig,late,Canada late,BAPS9,MA4T3-3C
g1307.7687,Streptococcus suis 1671154,,27,Canada,2014,Pig,late,Canada late,BAPS21,1671154
g1307.7688,Streptococcus suis MA4T3-3B,MLST.ssuis.28,1/2,Canada,2016,Pig,late,Canada late,BAPS25,MA4T3-3B
g1307.7689,Streptococcus suis 1633180,MLST.ssuis.108,23,Canada,2014,Pig,late,Canada late,BAPS1,1633180
g1307.7690,Streptococcus suis MA4T3-2B,MLST.ssuis.1333,8,Canada,2016,Pig,late,Canada late,BAPS5,MA4T3-2B
g1307.7691,Streptococcus suis MA4T3-3A,MLST.ssuis.28,1/2,Canada,2016,Pig,late,Canada late,BAPS26,MA4T3-3A
g1307.7692,Streptococcus suis MA4T3-1B,,31,Canada,2016,Pig,late,Canada late,BAPS9,MA4T3-1B
g1307.7693,Streptococcus suis EJ2T3-3B,,15,Canada,2016,Pig,late,Canada late,BAPS10,EJ2T3-3B
g1307.7694,Streptococcus suis MA4T3-1A,,,Canada,2016,Pig,late,Canada late,BAPS9,MA4T3-1A
g1307.7695,Streptococcus suis EJ2T3-2E,MLST.ssuis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-2E
g1307.7696,Streptococcus suis EJ2T3-2D,MLST.ssuis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-2D
g1307.7697,Streptococcus suis 1628823,MLST.ssuis.87,8,Canada,2014,Pig,late,Canada late,BAPS5,1628823
g1307.7698,Streptococcus suis EJ2T3-2C,MLST.ssuis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-2C
g1307.7699,Streptococcus suis EJ2T3-2A,MLST.ssuis.89,7,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-2A
g1307.7700,Streptococcus suis EJ2T3-2B,MLST.Streptococcus_suis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-2B
g1307.7701,Streptococcus suis EJ2T3-1B,MLST.Streptococcus_suis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-1B
g1307.7702,Streptococcus suis D15-061569,,31,Canada,,Pig,,,BAPS9,D15-061569
g1307.7703,Streptococcus suis EJ2T3-1A,MLST.Streptococcus_suis.89,,Canada,2016,Pig,late,Canada late,BAPS5,EJ2T3-1A
g1307.7704,Streptococcus suis D16-009258,,,Canada,,Pig,,,BAPS21,D16-009258
g1307.7705,Streptococcus suis D16-010262,,11,Canada,,Pig,,,BAPS33,D16-010262
g1307.7706,Streptococcus suis D15-049887,MLST.ssuis.28,1/2,Canada,,Pig,,,BAPS26,D15-049887
g1307.7707,Streptococcus suis D15-055799,MLST.ssuis.28,1/2,Canada,,Pig,,,BAPS26,D15-055799
g1307.7708,Streptococcus suis D15-049776,MLST.ssuis.1198,9,Canada,,Pig,,,BAPS8,D15-049776
