genome_id,serovar,pds_cluster,collection_year,period,country,isolation_source
PDT000003969.4,Kentucky,PDS000047126.1,2002,before_2016,USA,chicken breast
PDT000003970.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000003971.4,Agona,PDS000214890.285,2002,before_2016,USA,ground turkey
PDT000003972.4,Typhimurium,PDS000026832.41,2002,before_2016,USA,chicken breast
PDT000003973.4,Kentucky,PDS000047126.1,2002,before_2016,USA,chicken breast
PDT000003974.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,chicken breast
PDT000003975.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,chicken breast
PDT000003976.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,chicken breast
PDT000004289.3,"4,[5],12:i:-",PDS000253288.128,2002,before_2016,USA,ground turkey
PDT000004290.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,ground turkey
PDT000004292.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000004293.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000004294.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,chicken breast
PDT000004315.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,chicken breast
PDT000004316.4,Kentucky,PDS000004091.7,2002,before_2016,USA,chicken breast
PDT000004323.3,"4,12:i:-",PDS000253288.128,2002,before_2016,USA,ground turkey
PDT000004356.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000004357.3,Hadar,PDS000114063.1,2002,before_2016,USA,ground turkey
PDT000004361.4,Kentucky,PDS000260145.21,2002,before_2016,USA,chicken breast
PDT000004362.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,chicken breast
PDT000004363.4,Kentucky,PDS000032330.3,2002,before_2016,USA,chicken breast
PDT000004388.4,Heidelberg,PDS000211943.33,2002,before_2016,USA,chicken breast
PDT000004400.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000004401.3,Blockley,PDS000157219.165,2002,before_2016,USA,chicken breast
PDT000004405.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024333.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024334.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024335.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024336.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024337.3,Hadar,PDS000158106.134,2002,before_2016,USA,chicken breast
PDT000024338.4,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000024339.4,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000024340.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,chicken breast
PDT000024341.3,Hadar,PDS000158106.134,2002,before_2016,USA,chicken breast
PDT000024342.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000024343.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000024344.4,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000024345.3,Thompson,PDS000032705.1749,2002,before_2016,USA,chicken breast
PDT000024347.3,"4,12:r:-",PDS000029747.12,2002,before_2016,USA,chicken breast
PDT000024348.4,"4,[5],12:i:-",PDS000253285.29,2002,before_2016,USA,chicken breast
PDT000024349.3,"4,[5],12:i:-",PDS000253285.29,2002,before_2016,USA,chicken breast
PDT000024350.3,"6,7:k:-",PDS000032705.1749,2002,before_2016,USA,chicken breast
PDT000024351.3,"6,7:k:-",PDS000032705.1749,2002,before_2016,USA,chicken breast
PDT000024352.4,Heidelberg,PDS000220817.1,2002,before_2016,USA,chicken breast
PDT000024353.3,Saintpaul,PDS000032619.14,2002,before_2016,USA,ground turkey
PDT000024354.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024355.3,Saintpaul,PDS000032619.14,2002,before_2016,USA,ground turkey
PDT000024356.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000024357.4,Typhimurium,PDS000013868.758,2002,before_2016,USA,ground turkey
PDT000024358.4,Typhimurium,PDS000013868.758,2002,before_2016,USA,ground turkey
PDT000025508.4,Heidelberg,PDS000029759.23,2002,before_2016,USA,ground turkey
PDT000025509.4,Brandenburg,PDS000026782.249,2002,before_2016,USA,ground turkey
PDT000025510.4,Enteritidis,PDS000029251.4,2002,before_2016,USA,chicken breast
PDT000025511.4,Enteritidis,PDS000029251.4,2002,before_2016,USA,chicken breast
PDT000025513.3,Hadar,PDS000158107.507,2002,before_2016,USA,chicken breast
PDT000025514.4,Kentucky,PDS000260145.21,2002,before_2016,USA,chicken breast
PDT000025515.3,Enteritidis,PDS000032329.1,2002,before_2016,USA,ground turkey
PDT000025516.4,Heidelberg,PDS000029725.224,2002,before_2016,USA,ground turkey
PDT000025521.4,Typhimurium,PDS000028787.66,2002,before_2016,USA,chicken breast
PDT000025522.4,Enteritidis,PDS000032696.6,2002,before_2016,USA,ground turkey
PDT000025523.4,Enteritidis,PDS000032696.6,2002,before_2016,USA,ground turkey
PDT000026416.4,Kentucky,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000026417.4,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000026418.3,Saintpaul,PDS000004267.11,2002,before_2016,USA,ground turkey
PDT000026421.4,Brandenburg,PDS000026782.249,2002,before_2016,USA,chicken breast
PDT000026423.6,Typhimurium,PDS000037294.76,2003,before_2016,USA,ground turkey
PDT000026424.4,Kentucky,PDS000217831.57,2003,before_2016,USA,chicken breast
PDT000026425.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000026428.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000029609.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000029610.4,Agona,PDS000032130.4,2003,before_2016,USA,ground turkey
PDT000029613.4,Kentucky,PDS000260145.21,2003,before_2016,USA,chicken breast
PDT000029614.4,Kentucky,PDS000260145.21,2003,before_2016,USA,chicken breast
PDT000029616.4,Heidelberg,PDS000106159.105,2003,before_2016,USA,ground turkey
PDT000029617.4,Heidelberg,PDS000106159.105,2003,before_2016,USA,ground turkey
PDT000029619.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000029620.3,Mbandaka,PDS000233288.49,2003,before_2016,USA,chicken breast
PDT000029621.4,Heidelberg,PDS000029759.23,2003,before_2016,USA,ground turkey
PDT000029622.4,Heidelberg,PDS000029759.23,2003,before_2016,USA,ground turkey
PDT000029623.4,Kentucky,PDS000260145.21,2003,before_2016,USA,chicken breast
PDT000029624.4,Brandenburg,PDS000026782.249,2003,before_2016,USA,chicken breast
PDT000030520.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000031370.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000031372.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000031375.4,Typhimurium,PDS000272319.1,2004,before_2016,USA,chicken breast
PDT000031376.3,Bredeney,PDS000032153.1,2004,before_2016,USA,ground turkey
PDT000031379.4,Kentucky,PDS000217831.57,2004,before_2016,USA,chicken breast
PDT000031381.4,Kentucky,PDS000272319.1,2004,before_2016,USA,chicken breast
PDT000031384.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031387.4,Schwarzengrund,PDS000032316.11,2004,before_2016,USA,ground turkey
PDT000031391.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031394.3,"4,12:r:-",PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031395.3,"4,12:r:-",PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031397.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031406.4,Newport,PDS000217831.57,2002,before_2016,USA,chicken breast
PDT000031408.4,Kentucky,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000031409.4,Saintpaul,PDS000004383.112,2003,before_2016,USA,ground turkey
PDT000031411.4,Infantis,PDS000032456.156,2002,before_2016,USA,chicken breast
PDT000031412.4,Brandenburg,PDS000026782.249,2003,before_2016,USA,chicken breast
PDT000031413.4,Heidelberg,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000031414.3,Mbandaka,PDS000233288.49,2002,before_2016,USA,chicken breast
PDT000031416.4,Newport,PDS000217831.57,2002,before_2016,USA,chicken breast
PDT000031417.3,Hadar,PDS000158106.134,2003,before_2016,USA,chicken breast
PDT000031418.3,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000031419.4,Enteritidis,PDS000032696.6,2002,before_2016,USA,ground turkey
PDT000031421.3,Hadar,PDS000158107.507,2002,before_2016,USA,ground turkey
PDT000031480.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031481.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000031482.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000031483.4,Kentucky,PDS000004096.15,2004,before_2016,USA,chicken breast
PDT000031484.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,ground turkey
PDT000031485.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031486.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000031487.3,Berta,PDS000026549.1050,2004,before_2016,USA,chicken breast
PDT000031488.3,Mbandaka,PDS000233288.49,2004,before_2016,USA,chicken breast
PDT000031489.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031490.4,Enteritidis,PDS000030237.1756,2004,before_2016,USA,chicken breast
PDT000031491.4,Kentucky,PDS000004096.15,2004,before_2016,USA,chicken breast
PDT000031492.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000031493.3,Mbandaka,PDS000233288.49,2004,before_2016,USA,chicken breast
PDT000031494.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000031495.4,Kentucky,PDS000004091.7,2004,before_2016,USA,chicken breast
PDT000031503.4,Heidelberg,PDS000029759.23,2003,before_2016,USA,ground turkey
PDT000031504.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000031505.4,Saintpaul,PDS000004383.112,2002,before_2016,USA,ground turkey
PDT000031506.3,Saintpaul,PDS000004267.11,2002,before_2016,USA,ground turkey
PDT000031509.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000031510.4,Schwarzengrund,PDS000032316.11,2003,before_2016,USA,ground turkey
PDT000031511.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,ground turkey
PDT000031512.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000031763.4,Kentucky,PDS000032152.3,2004,before_2016,USA,chicken breast
PDT000031764.4,Kentucky,PDS000032152.3,2004,before_2016,USA,chicken breast
PDT000031765.3,Hadar,PDS000158107.507,2004,before_2016,USA,ground turkey
PDT000031766.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031767.3,Hadar,PDS000158106.134,2004,before_2016,USA,ground turkey
PDT000031768.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031769.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031791.3,Berta,PDS000026549.1050,2004,before_2016,USA,chicken breast
PDT000031794.4,Kentucky,PDS000004072.3,2004,before_2016,USA,chicken breast
PDT000031795.4,Kentucky,PDS000004072.3,2004,before_2016,USA,chicken breast
PDT000031798.3,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031799.4,Kentucky,PDS000047125.1,2004,before_2016,USA,chicken breast
PDT000031800.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000031801.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031802.4,Heidelberg,PDS000158106.134,2004,before_2016,USA,ground turkey
PDT000031803.3,Hadar,PDS000032128.2,2004,before_2016,USA,ground turkey
PDT000031831.3,Hadar,PDS000114063.1,2004,before_2016,USA,ground turkey
PDT000031832.4,Kentucky,PDS000032152.3,2004,before_2016,USA,chicken breast
PDT000031833.3,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000031834.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000031835.3,Hadar,PDS000158107.507,2004,before_2016,USA,ground turkey
PDT000031836.4,Kentucky,PDS000004072.3,2004,before_2016,USA,chicken breast
PDT000031837.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031838.4,Kentucky,PDS000047125.1,2004,before_2016,USA,chicken breast
PDT000031839.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000031840.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000032044.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000032046.4,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000032047.4,Schwarzengrund,PDS000027514.524,2004,before_2016,USA,chicken breast
PDT000032048.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000032049.4,Kentucky,PDS000217831.57,2004,before_2016,USA,chicken breast
PDT000032050.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000032052.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000032071.4,Kentucky,PDS000032300.5,2003,before_2016,USA,chicken breast
PDT000032072.4,Kentucky,PDS000032300.5,2003,before_2016,USA,chicken breast
PDT000032073.4,Kentucky,PDS000032300.5,2003,before_2016,USA,chicken breast
PDT000032080.8,Kentucky,PDS000030433.3,2003,before_2016,USA,ground turkey
PDT000032082.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000032083.4,Kentucky,PDS000217831.57,2003,before_2016,USA,chicken breast
PDT000032084.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000032086.3,Hadar,PDS000114063.1,2003,before_2016,USA,ground turkey
PDT000033844.3,Hadar,PDS000114063.1,2003,before_2016,USA,ground turkey
PDT000035157.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000035158.4,Typhimurium,PDS000032151.5,2004,before_2016,USA,chicken breast
PDT000035170.4,Senftenberg,PDS000266616.2,2002,before_2016,USA,ground turkey
PDT000035172.4,Heidelberg,PDS000106159.105,2002,before_2016,USA,chicken breast
PDT000035173.4,Newport,PDS000002504.660,2002,before_2016,USA,ground turkey
PDT000035176.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000035225.4,Kentucky,PDS000217831.57,2004,before_2016,USA,chicken breast
PDT000035227.3,Saintpaul,PDS000032619.14,2002,before_2016,USA,ground turkey
PDT000035584.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000035585.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000035586.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000035587.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000035588.4,Kentucky,PDS000032129.3,2004,before_2016,USA,chicken breast
PDT000035589.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000035591.4,Schwarzengrund,PDS000027514.524,2004,before_2016,USA,chicken breast
PDT000035592.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000035593.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000035596.4,Agona,PDS000214890.285,2004,before_2016,USA,chicken breast
PDT000035597.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035618.4,Schwarzengrund,PDS000027514.524,2004,before_2016,USA,chicken breast
PDT000035619.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000035818.4,Heidelberg,PDS000106159.105,2003,before_2016,USA,ground turkey
PDT000035819.3,Saintpaul,PDS000032619.14,2003,before_2016,USA,ground turkey
PDT000035821.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000035823.3,Hadar,PDS000114063.1,2003,before_2016,USA,ground turkey
PDT000035825.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000035896.5,Heidelberg,PDS000106159.105,2005,before_2016,USA,ground turkey
PDT000035897.5,Newport,PDS000031694.4,2005,before_2016,USA,ground turkey
PDT000035898.5,Typhimurium,PDS000031690.12,2005,before_2016,USA,chicken breast
PDT000035899.5,Typhimurium,PDS000272319.1,2005,before_2016,USA,chicken breast
PDT000035901.5,Typhimurium,PDS000028568.78,2005,before_2016,USA,chicken breast
PDT000035903.5,Heidelberg,PDS000106159.105,2005,before_2016,USA,ground turkey
PDT000035904.4,Hadar,PDS000158107.507,2005,before_2016,USA,ground turkey
PDT000035905.5,Heidelberg,PDS000106159.105,2005,before_2016,USA,ground turkey
PDT000035906.4,Hadar,PDS000158107.507,2005,before_2016,USA,ground turkey
PDT000035908.5,Senftenberg,PDS000002489.96,2005,before_2016,USA,ground turkey
PDT000035909.4,Typhimurium,PDS000054041.1,2005,before_2016,USA,ground turkey
PDT000035910.5,Heidelberg,PDS000211943.33,2005,before_2016,USA,chicken breast
PDT000035911.4,"4,12:d:-",PDS000001682.46,2005,before_2016,USA,ground turkey
PDT000035912.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035913.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035914.4,Newport,PDS000032635.214,2004,before_2016,USA,ground turkey
PDT000035915.4,Newport,PDS000032635.214,2004,before_2016,USA,ground turkey
PDT000035916.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035917.4,Agona,PDS000028948.87,2004,before_2016,USA,ground turkey
PDT000035918.4,Agona,PDS000028948.87,2004,before_2016,USA,ground turkey
PDT000035919.4,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000035921.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000035922.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035926.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000035927.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000035973.5,Kentucky,PDS000260145.21,2005,before_2016,USA,chicken breast
PDT000035975.5,Senftenberg,PDS000032058.59,2005,before_2016,USA,ground turkey
PDT000035976.5,Kentucky,PDS000112666.285,2005,before_2016,USA,chicken breast
PDT000035995.5,Kentucky,PDS000004096.15,2005,before_2016,USA,chicken breast
PDT000035996.5,Kentucky,PDS000260145.21,2005,before_2016,USA,chicken breast
PDT000035997.4,"4,[5],12:i:-",PDS000031698.10,2005,before_2016,USA,chicken breast
PDT000035998.5,Heidelberg,PDS000211943.33,2005,before_2016,USA,chicken breast
PDT000035999.5,Heidelberg,PDS000211943.33,2005,before_2016,USA,chicken breast
PDT000036001.5,Heidelberg,PDS000106159.105,2005,before_2016,USA,ground turkey
PDT000036002.5,Kentucky,PDS000260145.21,2005,before_2016,USA,chicken breast
PDT000036003.5,Kentucky,PDS000031695.7,2005,before_2016,USA,chicken breast
PDT000036004.5,Brandenburg,PDS000026782.249,2005,before_2016,USA,ground turkey
PDT000036005.4,Saintpaul,PDS000031693.3,2005,before_2016,USA,ground turkey
PDT000036006.5,Kentucky,PDS000185256.1,2005,before_2016,USA,chicken breast
PDT000036470.4,Schwarzengrund,PDS000032316.11,2004,before_2016,USA,ground turkey
PDT000036472.4,Typhimurium,PDS000272319.1,2004,before_2016,USA,chicken breast
PDT000036473.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000036474.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000036475.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000036476.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000036477.4,Typhimurium,PDS000272319.1,2004,before_2016,USA,chicken breast
PDT000036478.3,Hadar,PDS000028426.1,2004,before_2016,USA,ground turkey
PDT000036479.4,Agona,PDS000032130.4,2004,before_2016,USA,ground turkey
PDT000036480.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000036481.4,Typhimurium,PDS000272319.1,2004,before_2016,USA,chicken breast
PDT000036482.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000036483.3,Hadar,PDS000158106.134,2004,before_2016,USA,chicken breast
PDT000036484.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036485.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036487.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036489.3,Hadar,PDS000158106.134,2004,before_2016,USA,chicken breast
PDT000036490.3,Hadar,PDS000158106.134,2004,before_2016,USA,chicken breast
PDT000036546.4,Heidelberg,PDS000029759.23,2004,before_2016,USA,ground turkey
PDT000036555.4,Schwarzengrund,PDS000032316.11,2004,before_2016,USA,ground turkey
PDT000036556.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000036557.4,Agona,PDS000032131.2,2004,before_2016,USA,ground turkey
PDT000036558.4,Schwarzengrund,PDS000032316.11,2004,before_2016,USA,ground turkey
PDT000036559.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000036560.4,Kentucky,PDS000217831.57,2004,before_2016,USA,chicken breast
PDT000036561.4,Kentucky,PDS000260145.21,2004,before_2016,USA,chicken breast
PDT000036562.3,Saintpaul,PDS000114063.1,2004,before_2016,USA,ground turkey
PDT000036563.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036564.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036565.4,Kentucky,PDS000004096.15,2004,before_2016,USA,chicken breast
PDT000036566.3,Hadar,PDS000158106.134,2004,before_2016,USA,chicken breast
PDT000036567.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036568.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000036573.3,Hadar,PDS000158106.134,2004,before_2016,USA,chicken breast
PDT000036840.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000036841.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000036842.4,Montevideo,PDS000220816.178,2003,before_2016,USA,chicken breast
PDT000036844.4,Heidelberg,PDS000211943.33,2003,before_2016,USA,chicken breast
PDT000036845.3,Mbandaka,PDS000233288.49,2004,before_2016,USA,chicken breast
PDT000036846.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000036847.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000036848.3,Saintpaul,PDS000032619.14,2004,before_2016,USA,ground turkey
PDT000036849.4,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000036850.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000036851.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000036852.4,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000036853.4,Schwarzengrund,PDS000032316.11,2004,before_2016,USA,ground turkey
PDT000036855.4,Saintpaul,PDS000004383.112,2004,before_2016,USA,ground turkey
PDT000036857.4,Derby,PDS000004136.77,2004,before_2016,USA,ground turkey
PDT000036859.4,Montevideo,PDS000027859.12,2004,before_2016,USA,ground turkey
PDT000037267.4,Enteritidis,PDS000030237.1756,2004,before_2016,USA,chicken breast
PDT000037269.3,Mbandaka,PDS000233288.49,2004,before_2016,USA,chicken breast
PDT000037270.4,Senftenberg,PDS000030320.57,2004,before_2016,USA,ground turkey
PDT000037271.4,Agona,PDS000214890.285,2004,before_2016,USA,ground turkey
PDT000037272.4,Agona,PDS000214890.285,2004,before_2016,USA,ground turkey
PDT000037273.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000037274.4,Heidelberg,PDS000106159.105,2004,before_2016,USA,ground turkey
PDT000037275.3,Hadar,PDS000158107.507,2004,before_2016,USA,ground turkey
PDT000037276.4,Heidelberg,PDS000211943.33,2004,before_2016,USA,chicken breast
PDT000037282.3,"4,12:d:-",PDS000001682.46,2004,before_2016,USA,ground turkey
PDT000037322.3,"4,[5],12:i:-",PDS000253285.29,2005,before_2016,USA,chicken breast
PDT000037323.4,Kentucky,PDS000260145.21,2005,before_2016,USA,chicken breast
PDT000037324.4,Typhimurium,PDS000026617.787,2005,before_2016,USA,chicken breast
PDT000037325.3,Bredeney,PDS000031700.1,2005,before_2016,USA,ground turkey
PDT000037326.3,Hadar,PDS000247378.2,2005,before_2016,USA,ground turkey
PDT000037329.4,Kentucky,PDS000004091.7,2005,before_2016,USA,chicken breast
PDT000037330.4,Kentucky,PDS000260145.21,2005,before_2016,USA,chicken breast
PDT000037331.3,Hadar,PDS000158106.134,2005,before_2016,USA,ground turkey
PDT000037333.4,Montevideo,PDS000027859.12,2005,before_2016,USA,ground turkey
PDT000037334.3,Saintpaul,PDS000032619.14,2005,before_2016,USA,ground turkey
