isolate,amr_00,amr_01,amr_02,amr_03,amr_04,amr_05,amr_06,amr_07,amr_08,amr_09,amr_10,amr_11,amr_12,amr_13,amr_14,amr_15,amr_16,amr_17
SC_0088,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
SC_0089,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SC_0090,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SC_0091,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SC_0092,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
SC_0093,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
SC_0094,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
SC_0095,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SC_0096,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
SC_0097,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
SC_0098,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
SC_0099,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
SC_0100,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
SC_0101,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
SC_0102,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SC_0103,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1
SC_0104,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
SC_0105,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0
SC_0106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC_0107,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
SC_0108,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
SC_0109,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
SC_0110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_0111,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
SC_0112,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
SC_0113,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
SC_0114,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
SC_0115,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SC_0116,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
SC_0117,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SC_0118,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
SC_0119,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
SC_0120,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
SC_0121,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
SC_0122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_0123,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
SC_0124,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
SC_0125,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
SC_0126,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
SC_0127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SC_0128,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SC_0129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_0130,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
SC_0131,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
SC_0132,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
SC_0133,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SC_0134,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
SC_0135,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
SC_0136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SC_0137,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
SC_0138,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
SC_0139,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
SC_0140,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
SC_0141,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
SC_0142,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SC_0143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SC_0144,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC_0145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
SC_0146,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
SC_0147,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
SC_0148,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
SC_0149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC_0150,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SC_0151,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SC_0152,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
SC_0153,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
SC_0154,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
SC_0155,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SC_0156,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
SC_0157,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
SC_0158,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
SC_0159,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SC_0160,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
SC_0161,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
SC_0162,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
SC_0163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SC_0164,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
SC_0165,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
SC_0166,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
SC_0167,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
SC_0168,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0
SC_0169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_0170,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
SC_0171,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
SC_0172,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
SC_0173,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1
SC_0174,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1
SC_0175,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1
SC_0176,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
SC_0177,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1
SC_0178,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
SC_0179,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
